Al_sulfate_mol,Fe_sulfate_mol,Cu_sulfate_mol,Co_sulfate_mol,Ni_sulfate_mol,Mn_sulfate_mol,chem,temp,NaOH_stock,NaOH_mole,BattLeachate_volume
0.1763,0.06734,0.4243,0.05957,0.1981,0.05965,NMC622,25,1,0.03166,1
0.171,0.08457,0.356,0.04694,0.4071,0.04835,NMC811,25,1,0.05212,1
0.1271,0.0532,0.2582,0.459,1.264,0.7053,NMC532,25,1,0.5854,1
0.07528,0.02408,0.03499,0.5028,0.7707,0.2906,NMC523,25,1,0.9927,1
0.02305,0.04673,0.01509,0.1496,1.188,0.1514,NMC811,25,1,0.04542,1
0.1175,0.0668,0.01787,0.5666,1.835,0.627,NMC622,25,1,0.06608,1
0.08665,0.05388,0.2829,0.406,1.195,0.3901,NMC622,25,1,0.03235,1
0.01107,0.009764,0.1573,0.9172,1.059,0.9467,NMC111,25,1,0.02753,1
0.1663,0.06052,0.1025,0.1704,0.1818,0.1797,NMC111,25,1,0.2194,1
0.04747,0.04026,0.284,0.241,0.6639,0.3529,NMC532,25,1,0.09967,1
0.02763,0.04596,0.4178,0.2968,0.8226,0.2519,NMC622,25,1,0.07588,1
0.2119,0.09028,0.3966,0.1922,1.418,0.1798,NMC811,25,1,0.4438,1
0.2173,0.06402,0.04264,0.2355,1.726,0.215,NMC811,25,1,0.08523,1
0.07679,0.07216,0.3152,0.5543,0.5452,0.5589,NMC111,25,1,0.07354,1
0.1516,0.07882,0.22,0.4896,0.9604,0.3692,NMC523,25,1,0.2508,1
0.07403,0.06536,0.1331,0.09302,0.2657,0.08893,NMC622,25,1,0.04277,1
0.1691,0.05046,0.1013,0.01999,0.1721,0.02304,NMC811,25,1,0.5635,1
0.1227,0.1057,0.4057,0.239,0.7193,0.2407,NMC622,25,1,0.02447,1
0.03805,0.01703,0.426,0.148,0.4017,0.2405,NMC532,25,1,0.05292,1
0.1554,0.06301,0.2516,0.2545,0.6715,0.4015,NMC532,25,1,0.8821,1
0.0536,0.04875,0.1356,0.5021,1.376,0.7816,NMC532,25,1,1.006,1
0.09425,0.09536,0.2375,0.1224,0.2095,0.0852,NMC523,25,1,0.2609,1
0.2167,0.06347,0.1016,0.5681,0.5685,0.602,NMC111,25,1,0.2472,1
0.1228,0.03356,0.3275,0.1818,0.1968,0.1962,NMC111,25,1,0.02553,1
0.09861,0.08835,0.07389,0.3511,1.048,0.3332,NMC622,25,1,0.8395,1
0.0231,0.1065,0.2223,0.3108,2.093,0.2779,NMC811,25,1,0.3574,1
0.2091,0.1075,0.2498,0.1268,0.979,0.1145,NMC811,25,1,0.2038,1
0.03874,0.01557,0.4467,0.5858,1.8,0.5627,NMC622,25,1,1.497,1
0.1445,0.07994,0.3215,0.6453,1.042,0.4133,NMC523,25,1,0.4476,1
0.1485,0.05496,0.1038,0.3628,1.156,0.3648,NMC622,25,1,0.1488,1
0.1652,0.09596,0.3828,0.06612,0.2045,0.06254,NMC622,25,1,0.2624,1
0.1347,0.003096,0.321,0.09311,0.805,0.09579,NMC811,25,1,0.04637,1
0.2223,0.09382,0.008627,0.1754,1.492,0.1803,NMC811,25,1,0.2087,1
0.06533,0.02597,0.2862,0.2993,2.19,0.2899,NMC811,25,1,1.049,1
0.04347,0.05351,0.2919,0.8926,1.409,0.5594,NMC523,25,1,0.1827,1
0.08539,0.04918,0.009724,0.03181,0.2723,0.03295,NMC811,25,1,0.6077,1
0.193,0.01796,0.2441,0.04197,0.1333,0.04514,NMC622,25,1,1.357,1
0.2192,0.05331,0.164,0.5957,1.173,0.419,NMC523,25,1,0.04595,1
0.2038,0.1107,0.3147,0.3282,0.3759,0.3585,NMC111,25,1,1.091,1
0.1975,0.0325,0.2572,0.6179,0.5999,0.6273,NMC111,25,1,0.1588,1
0.1053,0.009624,0.1344,0.1936,0.579,0.1876,NMC622,25,1,0.08211,1
0.151,0.09066,0.05918,0.538,0.5479,0.5115,NMC111,25,1,0.6689,1
0.05623,0.03464,0.02757,0.5728,1.827,0.5882,NMC622,25,1,0.2066,1
0.1535,0.06427,0.04402,0.7461,0.6785,0.7263,NMC111,25,1,1.136,1
0.1538,0.09109,0.1706,0.3712,0.9489,0.6095,NMC532,25,1,0.144,1
0.1137,0.02021,0.4331,0.6172,0.931,0.3597,NMC523,25,1,0.6525,1
0.03297,0.08328,0.3292,0.2938,0.4638,0.2034,NMC523,25,1,0.03782,1
0.0393,0.05262,0.4308,0.4641,0.5296,0.4968,NMC111,25,1,0.07136,1
0.05727,0.05701,0.1236,0.7446,0.81,0.7227,NMC111,25,1,0.109,1
0.0484,0.09641,0.4211,0.2281,1.868,0.2195,NMC811,25,1,0.07685,1
0.084,0.01749,0.2869,0.3396,0.8833,0.4935,NMC532,25,1,0.5193,1
0.1966,0.04815,0.09395,0.4109,1.35,0.403,NMC622,25,1,0.1334,1
0.1069,0.007896,0.1389,0.09798,0.7574,0.1058,NMC811,25,1,0.04211,1
0.009074,0.0977,0.2871,0.3993,0.9668,0.6288,NMC532,25,1,0.6798,1
0.0367,0.05934,0.452,0.7266,0.7438,0.8002,NMC111,25,1,0.02364,1
0.01004,0.09976,0.1332,0.3038,0.8726,0.2947,NMC622,25,1,0.0496,1
0.1005,0.09323,0.1363,0.1385,1.076,0.1417,NMC811,25,1,0.6693,1
0.03557,0.01586,0.05084,0.04054,0.3634,0.04566,NMC811,25,1,0.3179,1
0.02887,0.02603,0.1428,0.2086,0.2148,0.2058,NMC111,25,1,0.03334,1
0.1206,0.06442,0.1785,0.005144,0.04284,0.005203,NMC811,25,1,0.4839,1
0.2103,0.04894,0.1604,0.2925,2.096,0.2657,NMC811,25,1,0.2244,1
0.09747,0.0613,0.1757,0.5294,1.116,0.7706,NMC532,25,1,0.02775,1
0.2025,0.1098,0.2183,0.328,1.047,0.3275,NMC622,25,1,0.05916,1
0.07643,0.1057,0.1266,0.3375,0.8891,0.3296,NMC622,25,1,0.4592,1
0.1075,0.008677,0.3433,0.06858,0.524,0.06092,NMC811,25,1,0.06562,1
0.06424,0.0326,0.06166,0.5102,1.405,0.8936,NMC532,25,1,0.193,1
0.06305,0.03221,0.06635,0.4864,1.186,0.7296,NMC532,25,1,0.417,1
0.1138,0.06724,0.1503,0.1627,0.4168,0.2437,NMC532,25,1,0.3703,1
0.1322,0.06369,0.1605,0.4884,0.8042,0.3031,NMC523,25,1,0.817,1
0.2107,0.08237,0.3785,0.3961,0.6527,0.3025,NMC523,25,1,0.04262,1
0.1736,0.07755,0.4471,0.09845,0.1682,0.06617,NMC523,25,1,0.192,1
0.2195,0.01156,0.2134,0.6313,0.6331,0.6357,NMC111,25,1,0.2997,1
0.02333,0.08974,0.155,0.1168,1.061,0.1224,NMC811,25,1,0.07941,1
0.129,0.05746,0.2769,0.07522,0.1904,0.1243,NMC532,25,1,0.3966,1
0.2084,0.09222,0.3134,0.4788,0.5555,0.496,NMC111,25,1,0.02223,1
0.02284,0.02978,0.4192,0.02628,0.2014,0.02406,NMC811,25,1,0.05115,1
0.1372,0.02012,0.1222,0.553,0.5614,0.504,NMC111,25,1,0.03124,1
0.1517,0.06047,0.1466,0.3428,0.8571,0.4486,NMC532,25,1,0.07374,1
0.01406,0.104,0.16,0.2113,1.775,0.2254,NMC811,25,1,0.02588,1
0.02045,0.03116,0.2578,0.2871,2.018,0.265,NMC811,25,1,0.143,1
0.08261,0.09465,0.2615,0.2843,2.304,0.2792,NMC811,25,1,0.2778,1
0.1779,0.07576,0.05444,0.7509,1.43,0.528,NMC523,25,1,0.06581,1
0.01083,0.07755,0.1402,0.8269,0.7869,0.8741,NMC111,25,1,0.2687,1
0.01593,0.03833,0.0683,0.5794,0.5568,0.5783,NMC111,25,1,0.3111,1
0.1258,0.05299,0.4008,0.6261,0.666,0.6362,NMC111,25,1,0.1086,1
0.1812,0.02341,0.303,0.2545,0.2545,0.2529,NMC111,25,1,0.04957,1
0.105,0.09481,0.1303,0.726,1.249,0.4707,NMC523,25,1,0.02991,1
0.086,0.04968,0.3629,0.08794,0.6115,0.08128,NMC811,25,1,0.1568,1
0.1998,0.04263,0.3985,0.2445,1.771,0.221,NMC811,25,1,0.1785,1
0.1462,0.1066,0.3558,0.5838,1.328,0.8322,NMC532,25,1,0.02588,1
0.1812,0.02114,0.2883,0.4326,1.105,0.6547,NMC532,25,1,0.07694,1
0.1912,0.0546,0.1274,0.06919,0.1594,0.08599,NMC532,25,1,0.337,1
0.2005,0.04527,0.3203,0.7267,1.287,0.5159,NMC523,25,1,0.02362,1
0.07236,0.05511,0.1503,0.08016,0.6402,0.07276,NMC811,25,1,0.2667,1
0.1839,0.02985,0.07507,0.3561,0.9832,0.5924,NMC532,25,1,0.04058,1
0.2104,0.07081,0.1824,0.1473,1.214,0.1466,NMC811,25,1,0.6084,1
0.1574,0.1033,0.4301,0.4524,0.4609,0.442,NMC111,25,1,0.2748,1
0.02614,0.007859,0.3497,0.3873,0.421,0.3933,NMC111,25,1,0.1151,1
0.2061,0.04494,0.3621,0.3384,0.5238,0.2192,NMC523,25,1,0.05031,1
0.2249,0.009222,0.2018,0.3407,1.047,0.3736,NMC622,25,1,0.1072,1
0.02405,0.086,0.3572,0.1088,0.9578,0.1145,NMC811,25,1,0.1684,1
0.1363,0.07305,0.171,0.009147,0.07118,0.009179,NMC811,25,1,0.02613,1
0.02377,0.08246,0.1932,0.571,1.785,0.5709,NMC622,25,1,0.07371,1
0.05967,0.09376,0.06668,0.2813,0.7932,0.4374,NMC532,25,1,0.5359,1
0.2068,0.03682,0.3865,0.09389,0.2349,0.124,NMC532,25,1,0.1442,1
0.06597,0.03254,0.4213,0.08619,0.3211,0.1058,NMC622,25,1,0.5839,1
0.09759,0.09988,0.3249,0.04036,0.0959,0.06071,NMC532,25,1,0.02067,1
0.1567,0.0979,0.3535,0.2536,0.4037,0.1633,NMC523,25,1,0.09156,1
0.07792,0.04359,0.4449,0.131,0.3092,0.1989,NMC532,25,1,0.0974,1
0.0718,0.01343,0.4115,0.8777,1.442,0.5829,NMC523,25,1,0.4449,1
0.04955,0.08298,0.4486,0.5617,1.678,0.5563,NMC622,25,1,0.175,1
0.1412,0.05535,0.05363,0.2869,0.7505,0.4292,NMC532,25,1,0.09272,1
0.09508,0.04766,0.2035,0.09676,0.8679,0.09506,NMC811,25,1,0.585,1
0.09931,0.05997,0.1393,0.2364,1.873,0.228,NMC811,25,1,0.1265,1
0.02361,0.07499,0.3628,0.0492,0.4464,0.05599,NMC811,25,1,0.09848,1
0.1461,0.08968,0.3997,0.04018,0.03556,0.03929,NMC111,25,1,0.09818,1
0.1778,0.05214,0.04959,0.4667,0.6789,0.2704,NMC523,25,1,0.04479,1
0.1676,0.04198,0.08185,0.236,0.6561,0.3812,NMC532,25,1,0.7357,1
0.1573,0.03376,0.3827,0.5745,1.859,0.5843,NMC622,25,1,0.2921,1
0.1323,0.1101,0.3762,0.9927,0.9592,1.059,NMC111,25,1,0.2211,1
0.1825,0.06743,0.1639,0.532,1.581,0.5212,NMC622,25,1,0.1613,1
0.0603,0.003558,0.4289,0.1794,0.5152,0.1667,NMC622,25,1,0.2649,1
0.05084,0.05582,0.3545,0.2308,0.201,0.2182,NMC111,25,1,0.9932,1
0.05822,0.09043,0.4502,0.197,1.613,0.196,NMC811,25,1,1.491,1
0.1377,0.03999,0.1205,0.09094,0.7683,0.09641,NMC811,25,1,0.0712,1
0.1065,0.02525,0.348,0.2097,0.5005,0.3004,NMC532,25,1,0.04947,1
0.1804,0.02231,0.3018,0.06678,0.0992,0.04361,NMC523,25,1,0.03786,1
0.1802,0.01219,0.179,0.07391,0.1282,0.05131,NMC523,25,1,0.02296,1
0.2181,0.07003,0.05272,0.5325,1.196,0.7654,NMC532,25,1,0.04129,1
0.03055,0.05217,0.2074,0.2891,0.8017,0.4381,NMC532,25,1,1.459,1
0.04019,0.1073,0.1313,0.3721,0.9816,0.3576,NMC622,25,1,1.098,1
0.09342,0.0306,0.3799,0.638,0.6652,0.6659,NMC111,25,1,0.03887,1
0.1705,0.067,0.07244,0.04778,0.4153,0.04749,NMC811,25,1,0.4919,1
0.05735,0.08663,0.3184,0.4393,0.7648,0.3072,NMC523,25,1,0.04374,1
0.06985,0.109,0.2993,0.8068,0.7795,0.7635,NMC111,25,1,0.9556,1
0.1915,0.04535,0.2126,0.02777,0.07793,0.02659,NMC622,25,1,1.122,1
0.1983,0.0813,0.2279,0.1999,0.5888,0.1924,NMC622,25,1,1.139,1
0.1251,0.1072,0.341,0.4789,0.8495,0.3534,NMC523,25,1,0.05041,1
0.02441,0.07416,0.2132,0.437,1.104,0.7028,NMC532,25,1,0.1028,1
0.06488,0.03448,0.06059,0.5006,1.231,0.7179,NMC532,25,1,0.1199,1
0.1049,0.04206,0.1569,0.1859,0.5293,0.1681,NMC622,25,1,0.8834,1
0.06504,0.05246,0.2899,0.589,1.06,0.3702,NMC523,25,1,0.3316,1
0.07101,0.08829,0.4241,0.01495,0.1351,0.01523,NMC811,25,1,0.02566,1
0.005263,0.006486,0.3684,0.4358,1.141,0.6421,NMC532,25,1,0.03609,1
0.182,0.1056,0.1826,0.3156,0.7867,0.4894,NMC532,25,1,0.08161,1
0.08892,0.01077,0.07511,0.522,1.556,0.5254,NMC622,25,1,0.1757,1
0.04806,0.06171,0.2561,0.1769,0.1641,0.1606,NMC111,25,1,0.5337,1
0.06803,0.03356,0.0464,0.2041,1.689,0.2028,NMC811,25,1,1.289,1
0.2,0.1007,0.2681,0.06083,0.1012,0.03856,NMC523,25,1,0.4542,1
0.1992,0.02385,0.4119,0.4198,0.9857,0.5637,NMC532,25,1,0.2901,1
0.06845,0.0807,0.4131,0.1345,1.176,0.1472,NMC811,25,1,0.2007,1
0.1492,0.005044,0.08163,0.1224,0.2037,0.08372,NMC523,25,1,0.8058,1
0.1878,0.006671,0.253,0.4747,1.517,0.4783,NMC622,25,1,0.02892,1
0.1752,0.04201,0.3718,0.4494,1.197,0.3833,NMC622,25,1,0.02731,1
0.05102,0.1041,0.01955,0.2561,0.2047,0.2178,NMC111,25,1,0.05804,1
0.1299,0.05545,0.2868,0.5288,1.381,0.8156,NMC532,25,1,1.212,1
0.1397,0.07764,0.2197,0.09585,0.7409,0.08763,NMC811,25,1,0.0474,1
0.1896,0.04732,0.02439,0.8932,0.8934,1.014,NMC111,25,1,0.2185,1
0.2087,0.04683,0.3262,0.4623,1.357,0.4478,NMC622,25,1,0.03777,1
0.2236,0.02859,0.1271,0.04267,0.3336,0.04,NMC811,25,1,0.07823,1
0.206,0.06907,0.3884,0.06942,0.5264,0.07022,NMC811,25,1,0.03536,1
0.01479,0.082,0.2413,0.1834,0.1971,0.2052,NMC111,25,1,0.4841,1
0.07734,0.07296,0.4233,0.4834,1.568,0.529,NMC622,25,1,0.1314,1
0.129,0.06386,0.2179,0.2592,0.8144,0.2465,NMC622,25,1,1.198,1
0.0558,0.09411,0.3994,0.05225,0.05208,0.0532,NMC111,25,1,0.3547,1
0.04057,0.08746,0.1314,0.3444,0.3566,0.3322,NMC111,25,1,0.3169,1
0.1815,0.07325,0.1323,0.1766,0.1596,0.1768,NMC111,25,1,0.03019,1
0.01393,0.008256,0.06598,0.8439,1.483,0.6292,NMC523,25,1,0.1645,1
0.1886,0.06799,0.1341,0.3175,0.8957,0.3017,NMC622,25,1,0.02356,1
0.1796,0.05078,0.3656,0.4763,1.596,0.4941,NMC622,25,1,0.06902,1
0.0248,0.002661,0.06791,0.1591,1.235,0.16,NMC811,25,1,0.8777,1
0.1976,0.0345,0.2003,0.1701,0.432,0.2686,NMC532,25,1,0.02734,1
0.0591,0.0961,0.09239,0.4765,0.4551,0.4571,NMC111,25,1,0.02695,1
0.03017,0.04152,0.09596,0.3386,0.5545,0.2452,NMC523,25,1,0.6054,1
0.1891,0.02335,0.04851,0.4537,0.4598,0.4607,NMC111,25,1,0.05,1
0.22,0.06448,0.1602,0.2193,0.5664,0.3288,NMC532,25,1,0.06131,1
0.2048,0.01028,0.1178,0.09952,0.1756,0.07062,NMC523,25,1,0.07172,1
0.1095,0.05919,0.4493,0.8744,1.609,0.6067,NMC523,25,1,0.616,1
0.05636,0.07432,0.2097,0.234,1.914,0.2443,NMC811,25,1,0.6758,1
0.1263,0.00487,0.2281,0.04769,0.1353,0.05056,NMC622,25,1,0.4244,1
0.1572,0.07192,0.3267,0.342,0.5305,0.2193,NMC523,25,1,0.3315,1
0.2117,0.06007,0.4065,0.02864,0.2241,0.02655,NMC811,25,1,1.304,1
0.1402,0.1105,0.1979,0.2675,0.8036,0.2877,NMC622,25,1,0.5781,1
0.1951,0.04065,0.04283,0.1934,0.1878,0.2003,NMC111,25,1,0.03614,1
0.05988,0.02214,0.1493,0.5446,1.579,0.6024,NMC622,25,1,1.259,1
0.01747,0.01931,0.1381,0.1036,0.2436,0.1542,NMC532,25,1,0.04871,1
0.1532,0.0627,0.4132,0.1678,0.5478,0.1826,NMC622,25,1,0.02732,1
0.2016,0.07726,0.1557,0.0594,0.1472,0.09109,NMC532,25,1,0.8946,1
0.01689,0.08333,0.2845,0.911,0.928,1.005,NMC111,25,1,0.4283,1
0.08673,0.02723,0.246,0.571,1.345,0.8989,NMC532,25,1,0.08344,1
0.04505,0.1057,0.03566,0.2928,0.2712,0.2731,NMC111,25,1,0.6123,1
0.2199,0.08557,0.3215,0.6903,1.173,0.4637,NMC523,25,1,0.0848,1
0.04489,0.06625,0.2544,0.2731,2.02,0.2497,NMC811,25,1,0.07608,1
0.05892,0.07064,0.3141,0.009807,0.0854,0.01071,NMC811,25,1,1.244,1
0.02874,0.0315,0.1642,0.2213,0.6553,0.2149,NMC622,25,1,0.105,1
0.1267,0.0226,0.008162,1.014,0.8217,0.9599,NMC111,25,1,0.8719,1
0.1087,0.05993,0.3086,0.2437,1.987,0.2506,NMC811,25,1,0.7009,1
0.04933,0.08373,0.1714,0.09833,0.2274,0.1354,NMC532,25,1,0.02692,1
0.1349,0.02239,0.1947,0.2447,0.8684,0.288,NMC622,25,1,0.05573,1
0.1333,0.09046,0.3433,0.4476,1.12,0.7056,NMC532,25,1,0.5185,1
0.1159,0.0511,0.2857,0.314,0.5196,0.2227,NMC523,25,1,0.02617,1
0.03878,0.06295,0.1201,0.05347,0.3974,0.04758,NMC811,25,1,0.2153,1
0.2118,0.05724,0.2925,0.7394,1.288,0.4619,NMC523,25,1,0.03812,1
0.09329,0.07599,0.164,0.02365,0.02215,0.02153,NMC111,25,1,0.6088,1
0.01199,0.02648,0.2209,0.7853,1.171,0.4712,NMC523,25,1,0.08348,1
0.1224,0.1069,0.06653,0.1117,0.3573,0.1184,NMC622,25,1,0.02935,1
0.1379,0.0508,0.158,0.6834,1.068,0.4007,NMC523,25,1,0.02977,1
0.1263,0.1095,0.3911,0.8933,0.9753,1.029,NMC111,25,1,0.1085,1
0.003645,0.087,0.08555,0.1083,0.1985,0.07597,NMC523,25,1,0.2407,1
0.1342,0.002316,0.3836,0.26,0.7178,0.2598,NMC622,25,1,1.159,1
0.04675,0.0522,0.1915,0.08814,0.2519,0.08769,NMC622,25,1,0.05012,1
0.005778,0.1009,0.1297,0.3723,1.041,0.341,NMC622,25,1,0.2271,1
0.01105,0.02373,0.3126,0.5242,1.27,0.7056,NMC532,25,1,0.07103,1
0.117,0.002954,0.01521,0.2533,1.918,0.2345,NMC811,25,1,0.05754,1
0.09282,0.09199,0.0487,0.5361,1.43,0.8717,NMC532,25,1,0.5563,1
0.04165,0.03459,0.4183,0.171,0.1718,0.1634,NMC111,25,1,0.6522,1
0.09447,0.05715,0.4446,0.8649,0.9308,0.927,NMC111,25,1,0.07439,1
0.1925,0.1113,0.2062,0.7674,1.282,0.5379,NMC523,25,1,0.4201,1
0.1031,0.06193,0.08464,0.1634,0.4823,0.1739,NMC622,25,1,0.02077,1
0.0874,0.09006,0.2103,0.3054,0.8437,0.3096,NMC622,25,1,1.484,1
0.1297,0.002277,0.1711,0.2329,0.3961,0.1414,NMC523,25,1,0.1787,1
0.1167,0.02402,0.1558,0.06359,0.1571,0.0944,NMC532,25,1,0.03542,1
0.01234,0.005766,0.09079,0.3184,0.9725,0.3412,NMC622,25,1,0.0273,1
0.1909,0.009259,0.1092,0.8775,0.8387,0.8559,NMC111,25,1,0.03071,1
0.008925,0.1059,0.141,0.166,0.4172,0.2678,NMC532,25,1,1.335,1
0.135,0.06702,0.2623,0.6194,1.499,0.8741,NMC532,25,1,0.4468,1
0.1345,0.06379,0.3268,0.3787,0.3851,0.3637,NMC111,25,1,0.03518,1
0.1528,0.03113,0.1918,0.3712,0.433,0.4322,NMC111,25,1,1.051,1
0.02868,0.1013,0.4567,0.7466,1.247,0.4879,NMC523,25,1,0.02186,1
0.04193,0.08985,0.02458,0.1065,0.8903,0.1014,NMC811,25,1,0.02068,1
0.1714,0.003182,0.1405,0.6478,0.9617,0.4317,NMC523,25,1,0.3108,1
0.1569,0.09039,0.05839,0.2704,2.233,0.2451,NMC811,25,1,0.7302,1
0.07901,0.01071,0.2628,0.6357,1.662,0.5931,NMC622,25,1,0.0419,1
0.1778,0.05063,0.2579,0.5606,1.66,0.4986,NMC622,25,1,0.252,1
0.1842,0.09605,0.2649,0.5565,1.313,0.7877,NMC532,25,1,0.04844,1
0.1606,0.03013,0.423,0.2639,0.2573,0.268,NMC111,25,1,0.08575,1
0.2104,0.002294,0.06152,0.3325,1.059,0.3244,NMC622,25,1,0.502,1
0.07653,0.03784,0.4064,0.2161,0.2387,0.2308,NMC111,25,1,0.04615,1
0.01816,0.07024,0.0327,0.1174,0.9402,0.1166,NMC811,25,1,0.06036,1
0.07014,0.08373,0.2558,0.9389,0.9546,0.8281,NMC111,25,1,0.7175,1
0.2066,0.1045,0.2734,0.1087,0.9451,0.1082,NMC811,25,1,0.2664,1
0.2183,0.02142,0.4424,0.08112,0.5764,0.06942,NMC811,25,1,0.5154,1
0.126,0.08667,0.08247,0.3165,0.7768,0.4206,NMC532,25,1,0.04866,1
0.07124,0.02633,0.3517,0.7406,1.25,0.5453,NMC523,25,1,1.396,1
0.03174,0.05518,0.1241,0.1672,0.4158,0.2567,NMC532,25,1,0.02431,1
0.1448,0.01552,0.03151,0.02214,0.06929,0.02286,NMC622,25,1,0.1766,1
0.04266,0.1079,0.1485,0.9062,0.9481,0.778,NMC111,25,1,0.02161,1
0.179,0.03631,0.376,0.5826,1.022,0.3666,NMC523,25,1,0.1221,1
0.2012,0.08813,0.1207,0.6623,0.6761,0.649,NMC111,25,1,1.339,1
0.205,0.09358,0.3071,0.103,0.3094,0.0941,NMC622,25,1,0.06522,1
0.09194,0.08748,0.06138,0.1927,1.649,0.208,NMC811,25,1,0.2557,1
0.123,0.09251,0.0616,0.06173,0.5048,0.06081,NMC811,25,1,0.03392,1
0.1326,0.08892,0.2371,0.4111,1.129,0.3774,NMC622,25,1,0.03144,1
0.1524,0.01902,0.1214,0.4974,1.448,0.4101,NMC622,25,1,0.1025,1
0.1605,0.08783,0.3069,0.0571,0.06271,0.06125,NMC111,25,1,0.0342,1
0.2083,0.06635,0.05612,0.2949,2.233,0.2912,NMC811,25,1,0.06776,1
0.2027,0.05335,0.1196,0.2274,0.2228,0.2412,NMC111,25,1,1.111,1
0.1831,0.04769,0.2213,0.7339,1.219,0.4811,NMC523,25,1,0.4003,1
0.2199,0.09898,0.08009,0.0173,0.1314,0.01768,NMC811,25,1,0.2772,1
0.1329,0.004929,0.3474,0.1354,0.3476,0.1972,NMC532,25,1,0.1104,1
0.2236,0.01966,0.3934,0.3189,1.033,0.3588,NMC622,25,1,0.03442,1
0.1039,0.09079,0.171,0.8353,1.415,0.5688,NMC523,25,1,1.497,1
0.005951,0.03035,0.2448,0.8717,0.8247,0.8732,NMC111,25,1,0.1962,1
0.1529,0.03388,0.2658,0.8718,1.31,0.5274,NMC523,25,1,0.448,1
0.107,0.09225,0.1202,0.6259,1.829,0.6157,NMC622,25,1,0.9204,1
0.2,0.02994,0.1341,0.3869,0.9114,0.6366,NMC532,25,1,0.4774,1
0.1091,0.105,0.008532,0.5841,0.5789,0.5594,NMC111,25,1,0.1552,1
0.0816,0.03277,0.219,0.7511,0.7511,0.7848,NMC111,25,1,1.01,1
0.1112,0.1073,0.4038,0.6851,0.7008,0.6476,NMC111,25,1,0.3071,1
0.02164,0.05264,0.4308,0.3969,1.2,0.3819,NMC622,25,1,0.2203,1
0.07057,0.03974,0.4577,0.1002,0.7901,0.09913,NMC811,25,1,0.2248,1
0.1701,0.07458,0.1832,0.007128,0.05536,0.007334,NMC811,25,1,0.06871,1
0.04388,0.05893,0.09601,0.2006,1.423,0.1888,NMC811,25,1,0.05086,1
0.1717,0.05821,0.2749,0.05753,0.09412,0.03513,NMC523,25,1,0.02206,1
